동물원에 소는 없을껄여.	동물원에 소는 없을걸요.
컴퓨터 내장 부품들을 최신 것들로 대체를 하였다. 새로운 고급인력으로 구성원이 대체가 되었다.	컴퓨터 내장 부품들을 최신 것들로 대체를 하였다. 새로운 고급 인력으로 구성원이 대체가 되었다.
냉장고에 물만 이써요.	냉장고에 물만 있어요.
날씨가 추워진 결과 감기 환자가 늘어난다.	날씨가 추워진 결과 감기 환자가 늘어났다.
며칠 동안 계속 불고기를 먹었더니 질렸세요.	며칠 동안 계속 불고기를 먹었더니 질렸어요.
올해는 날씨가 좋아서 사과며 배며 귤이며 다 맛있따.	올해는 날씨가 좋아서 사과며 배며 귤이며 다 맛있다.
어머니께서 김치를 담가주셨어요.	어머니께서 김치를 담가 주셨어요.
선생님께서는 어려운 내용을 누구나 이해할 수 있도록 쉽게 설명해주셨다.	선생님께서는 어려운 내용을 누구나 이해할 수 있도록 쉽게 설명해 주셨다.
이번에는 꼭 선생님의 말ᄊ므을 잘 들어야 겠어요.	이번에는 꼭 선생님의 말씀을 잘 들어야겠어요.
운전을 하지는 못해여.	운전을 하지는 못해요.
전국적으로 독립된 구치소의 수가 절대적으로 부족하여 교도소 내의 미결 수용시설로서 대용하고 있다.	전국적으로 독립된 구치소의 수가 절대적으로 부족하여 교도소 내의 미결수용시설로써 대용하고 있다.
김 의원의 발언 중 친일파를 두둔하는 내용이 언론에게 말꼬리가 잡혀 요즘 화제가 되고 있다.	김의원의 발언 중 친일파를 두둔하는 내용이 언론에게 말꼬리가 잡혀 요즘 화제가 되고 있다.
오늘 어디에서 모이나여.	오늘 어디에서 모이나요.
컴퓨터 께임을 하지 말까요?	컴퓨터 게임을 하지 말까요?
진리를 안다는 것은 태어나지도 죽지도 않는 그것 함구적으로 존재하는 그 어떤 것을 아는 것이다.	진리를 안다는 것은 태어나지도 죽지도 않는 그것 항구적으로 존재하는 그 어떤 것을 아는 것이다.
이 약을 드시지 않으면 안됩니다.	이 약을 드시지 않으면 안 됩니다.
앤디씨가 미국사람인 것을 몰랐어요.	앤디 씨가 미국 사람인 것을 몰랐어요.
어제 왜 집에 일찍 갔느냐하면 머리가 많이 아팠거든요.	어제 왜 집에 일찍 갔느냐 하면 머리가 많이 아팠거든요.
우리언니는 많이 먹는거치고 살이 안쪄요.	우리 언니는 많이 먹는 거치고 살이 안 쪄요.
영수씨가 집을 혼자 지을까여?	영수 씨가 집을 혼자 지을까요?
한때는 이 도시의 중심지였던 동네였건만 이제는 폐허화된 체 버려져 사람의 그림자도 보이지 않았다.	한때는 이 도시의 중심지였던 동네였건만 이제는 폐허화된 채 버려져 사람들의 그림자도 보이지 않았다.
연구원은 구청의 수돗물에 대량의 중금속이 발견된 것에 대해 인근의 공장에서 폐수를 방출한 것으로 보인다고 신고를 했다.	연구원은 구청에 수돗물에 대량의 중금속이 발견된 것에 대해 인근의 공장에서 폐수를 방출한 것으로 보인다고 신고를 냈다.
중앙은행이 매각 조작을 하게 되면 자금이 경색되어 채권의 수익률은 높아지고 채권의 가격은 낮아진다.	중앙 은행이 매각 조작을 하게 되면 자금이 경색되어 채권의 수익률은 높아지고 채권의 가격은 낮아진다.
이 사람 얘기를 들으면 김 과장이 엉덩이가 구린 것 같고 저 사람 얘기를 들으면 최 부장의 엉덩이가 구린 것 같단 말이야.	이 사람 얘기를 들으면 김과장이 엉덩이가 구린 것 같고 저 사람 얘기를 들으면 최부장이 엉덩이가 구린 것 같단 말야.
그 사자는 동물원에 갇혀 있으면서도 자신이 동물의 왕임을 잊지 않았는지 구경꾼들을 향하여 힘차게 표효했다.	그 사자는 동물원에 갇혀 있으면서도 자신이 동물의 왕임을 잊지 않았는지 구경꾼들을 향하여 힘차게 포효했다.
만화책을 읽고 시퍼요.	만화책을 읽고 싶어요.
국어책은 한국어책대로 영어책은 영어책대로 정리하면 되여.	국어책은 한국어책대로 영어책은 영어책대로 정리하면 돼요.
노동조합은 사용자 측에 사용자 측이 노동운동을 불법적으로 탄압한 것에 대해 무효로 하겠다고 소송을 취하했다.	노동조합은 사용자측에 사용자측이 노동 운동을 불법적으로 탄압한 것에 대해 무효로 하겠다고 소송을 취하했다.
너 엄마한테 정말 이럴레?	너 엄마한테 정말 이럴래?
내가 분한 것은 회사를 빼앗겼다는 사실보다는 그들이 나 몰래 회사돈을 횡령하고 있었던 것을 내가 계속 몰랐다는 사실이다.	내가 분한 것은 회사를 빼앗겼다는 사실보다는 그들이 나 몰래 회사 돈을 횡령하고 있었던 것을 내가 계속 몰랐다는 사실이다.
시험이 다음 주 수요일임을 잊지마세요.	시험이 다음 주 수요일임을 잊지 마세요.
강아지가 집을 잘 지켯더구나.	강아지가 집을 잘 지켰더구나.
신문이 없어서 신문을 읽는대신에 잡지를 읽엇어요.	신문이 없어서 신문을 읽는 대신에 잡지를 읽었어요.
방학때 아르바이트를 했어여.	방학 때 아르바이트를 했어요.
수백년 동안 제자리를 지켜온 우리의 숲은 사라지고 단순화된 가로수 배열이 명맥을 유지하고 있다.	수 백년 동안 제자리를 지켜온 우리의 숲은 사라지고 단순화된 가로수 배열이 명맥을 유지하고 있다.
김 양은 직장 선배 언니에게 자기를 영업부 홍 대리와 중매해달라고 은근히 졸랐다고 한다.	김 양은 직장 선배 언니에게 자기를 영업부 홍 대리와 중매해 달라고 은근히 졸랐다고 한다.
그럼 돈을 가지고 와서 사먹으면 안돼요.	그럼 돈을 가지고 와서 사 먹으면 안 돼요.
흐엉씨는 결혼할 것을 기대해여.	흐엉 씨는 결혼할 것을 기대해요.
시간이 조금 밖에 안 남았어요. 빨리 가요.	시간이 조금밖에 안 남았어요. 빨리 가요.
이 안경을 쓰고 보이는데로 말씀해 주십시오.	이 안경을 쓰고 보이는 대로 말씀해 주십시오.
책자를 보고 마음에 드는 것을 골라두면 나중에 직원이 물건을 갖다 줍니다.	책자를 보고 마음에 드는 것을 골라 두면 나중에 직원이 물건을 갖다 줍니다.
누나는 시골에서 닭을 기르고 농사를 짓고 있다 마당에는 몇 마리의 닭이 모이를 쪼아 먹고 있었다.	누나는 시골에서 닭을 기르고 농사를 짓고 있다마당에는 몇 마리의 닭이 모이를 쪼아 먹고 있었다.
삼성전자가 차세대 메모리를 개발해 놓고도 인텔이 칩세트 지원계획을 내놓지 않아 행여 조기에 사상하지는 않을까 노심초사하고있다.	삼성전자가 차세대 메모리를 개발해놓고도 인텔이 칩세트 지원계획을 내놓지 않아 행여 조기에 사장하지나 않을까 노심초사하고 있다.
아키라씨는 삼계탕이며 비빔밥이며 불고기며 냉면이며 다 좋아해요.	아키라 씨는 삼계탕이며 비빔밥이며 불고기며 냉면이며 다 좋아해요.
거리가 먼 대신에 교통이 편리해서 쉽게 갈수 있을거에요.	거리가 먼 대신에 교통이 편리해서 쉽게 갈 수 있을 거예요.
우리 모두가 자신의 일처럼 힘을 합치는 한 이웃을 어려움은 쉽게 해결할 수 있어요.	우리가 모두 자기 일처럼 힘을 합치는 한 이웃들의 어려움은 쉽게 해결할 수 있어요.
제 계획은 열심히공부하기입니다.	제 계획은 열심히 공부하기입니다.
남이 혹시 망령된 말을 했더라도 만날 때마다 그 말을 꺼내 조소하거나 다른 사람에게 퍼뜨려서도 안된다.	남이 혹시 망령된 말을 했더라도 만날 때마다 그 말을 꺼내 조소하거나 다른 사람에게 퍼뜨려서도 안 된다.
선생님께서는 이제 점심을 드시더군여.	선생님께서는 이제 점심을 드시더군요.
철수가 보고있는 텔레비전을 어머니가 끄셨다.	철수가 보고 있는 텔레비전을 어머니가 끄셨다.
아주머니 저 등좀 밀어주세요.	아주머니 저 등 좀 밀어주세요.
나는 축구를 잘하지만 내 동생은 못해여.	나는 축구를 잘하지만 내 동생은 못 해요.
남한은 정상회담을 여는데에 대해 다음달 3일 일정을 시작하자고 북한과 타협이 이루어졌습니다.	남한은 정상 회담을 여는 데 대해 다음 달 3일 일정을 시작하자고 북한과 타협이 이루어졌습니다.
하루 종일 서있으면 다리가 부울 수 밖에 없습니다.	온종일 서 있으면 다리가 부을 수밖에 없습니다.
경제 정책을 펴는 것은 실업률을 낮추는 것과 기업의 투자를 유도하는 것에서 이중 효과가 있다.	경제정책을 펴는 것은 실업율을 낮추는 것과 기업의 투자를 유도하는 것에서 이중효과가 있다.
수지는 흐엉에 가족과 같아여.	수지는 흐엉의 가족과 같아요.
엄마는 아빠에게 동생 축의금으로 얼마를 내야 할 지에 대해 매일 동생들 뒷치닥거리만 하다가 살 수는 없다고 안달을 부렸다.	엄마는 아빠에게 동생 축의금으로 얼마를 내야 할지에 대해 매일 동생들 뒷치닥거리만 하다가 살 수 없다고 안달을 부렸다.
식당은 음식은 보통 맵든지 아니면 짜다.	식당 음식은 보통 맵든지 아니면 짜다.
이모는 시장에서 물건을 사면 갑슬 잘 깍는다.	이모는 시장에서 물건을 사면 값을 잘 깎는다.
작은아버지께서 중국에서 오셨어여.	작은아버지께서 중국에서 오셨어요.
민수씨가 범인을 잡게 도와 주었어요.	민수 씨가 범인을 잡게 도와주었어요.
미망인은 주위사람들에서 남편이 죽은 것에 대해 어떻게든 슬픔을 잊으라고 위안을 받았다.	미망인은 주위 사람들에게서 남편이 죽은 것에 대해 어떻게든 슬픔을 잊으라고 위안을 받았다.
우리 도서관에서 크게 말하지 말아여.	우리 도서관에서 크게 말하지 말아요.
지갑이 복도에 떨어져 있써요.	지갑이 복도에 떨어져 있어요.
요즘 비가 안 와서 곧 호수가 마르겠세여.	요즘 비가 안 와서 곧 호수가 마르겠어요.
줄리아씨가 매운 음식을 먹을 수 있을까요.	줄리아 씨가 매운 음식을 먹을 수 있을까요.
교장선생님은 면학분위기를 조성하기 위해 남학생을 여학생과 격리시키는 것이 좋겠다고 생각하셨다.	교장선생님은 면학 분위기를 조성하기 위해 남학생을 여학생과 격리시키는 것이 좋겠다고 생각하셨다.
그것은 서로 다른 두개의 세포로 분화하여 그 중 한 세포가 포자를 형성하고 나머지 하나가 그것을 도와줌으로서 종족을 보존한다.	그것은 서로 다른 두 개의 세포로 분화하여 그 중 한 세포가 포자를 형성하고 나머지 하나가 그것을 도와줌으로써 종족을 보존한다.
한국 시인의 시를 읽어보셨어요.	한국 시인의 시를 읽어 보셨어요.
내탓에 선생님께 우리도 혼났어.	네 탓에 우리도 선생님께 혼났어.
그는 하루 14시간 이상씩 일했다 그럼에도 그가 받는 임금은 최저생계비의 5분의 1도 안되었다.	그는 하루 14시간 이상씩 일했다 그럼에도 그가 받는 임금은 최저생계비의 5분의 1도 안 되었다.
굶어 죽고 얼어 죽는 빈궁한 동포를 위하여 구제운동을 시급히 일으키기를 간절히 바라는 바이다.	굶어죽고 얼어죽는 빈궁한 동포를 위하여 구제운동을 시급히 일으키기를 간절히 바라는 바이다.
영수씨가 할머니께 꽃을드렸어요.	영수 씨가 할머니께 꽃을 드렸어요.
그렇게 구렁이 담 넘어가듯이 넘어가려고 하지말고 얘길 좀 해봐.	그렇게 구렁이 담 넘어가듯이 넘어가려고 하지 말고 얘길 좀 해 봐.
저는 저녁을 안 먹을 테니 제 것은 준비하지 않아도 되요.	저는 저녁을 안 먹을 테니 제 것은 준비하지 않아도 돼요.
수지씨에게 사전을 빌리기로 했어요.	수지 씨에게서 사전을 빌리기로 했어요.
노래방에서 온 종일 노래를 불러 봐써요.	노래방에서 온종일 노래를 불러 봤어요.
수지싸 얼굴이 영화배우처럼 예뻐요.	수지 씨 얼굴이 영화배우처럼 예뻐요.
비행기가 5 분 후에 서울에 도착하겠습니다.	비행기가 5분 후에 서울에 도착하겠습니다.
수지씨가 이틀동안 잠만 잤잖니.	수지 씨가 이틀 동안 잠만 잤다니.
대통령은 법무부장관 문제를 어떻게 할 것인지에 대해 결국 경질하는 것으로 결론을 내렸다.	대통령은 법무부 장관 문제를 어떻게 할 것인지에 대해 결국 경질하는 것으로 결론을 내렸다.
환경부는 환경오염에 따른 환경정책을 5년에 한번씩 수립한다.	환경부는 환경 오염에 따른 환경 정책을 5년에 한 번씩 수립한다.
영수씨는 이야기를 재미있게해서 친구들이 많습니다.	영수 씨는 이야기를 재미있게 해서 친구들이 많습니다.
왕밍씨가 혼자 살았다면 있었을 일에 대해 이야기해줬다.	왕밍 씨가 혼자 살았다면 있었을 일에 대해 이야기해줬다.
박씨가 거기에 무슨 염치로 나타나겠다 그 작자 얼굴이 두꺼운게 보통 두꺼운게 아니구만.	박씨가 거기에 무슨 염치로 나타나겠나? 그 작자 얼굴이 두꺼워도 보통 두꺼운 게 아니구만.
방에 있는 것을 모두 옮기세여.	방에 있는 것을 모두 옮기세요.
평균 몇 점 이상이어야지 합격이에요.	평균이 몇 점 이상이어야지 합격이에요.
물질 문명이 바람직한 정신 문화에 의해 밑받침되지 않는다면 모래 위의 성처럼 금방 사라져버릴 것이다.	물질 문명이 바람직한 정신문화에 의해 밑받침되지 않는다면 모래 위의 성처럼 금방 사라져버릴 것이다.
방에 있는 물건을 모두 옮기세여.	방에 있는 물건을 모두 옮기세요.
흐엉씨는 매운 음식을 좋아하지만 저는 매운음식을 싫어합니다.	흐엉 씨는 매운 음식을 좋아하지만 저는 매운 음식을 싫어합니다.
앤디씨는 수지씨와 사귑니다.	앤디 씨는 수지 씨와 사귑니다.
윤리교육의 목적은 우리 학생들이 의식화되어 사회 규범에 일탈화되지 않는 행동을 하도록 하는 것이다.	윤리 교육의 목적은 우리 학생들이 의식화되어 사회 규범에 일탈하는 행동을 하지 않도록 하는 것이다.
어머니가 아이에 이름을 지어여.	어머니가 아이의 이름을 지어요.
어제 아팠던 사람은 영수씨에요.	어제 아팠던 사람은 영수 씨예요.
새로운 사업의 기호를 위축시키지 않는 한도 내에서 스팸메일을 근절을 위한 강력한 입법조치가 요구된다.	새로운 사업의 기회를 위축시키지 않는 한도 내에서 스팸메일을 근절을 위한 강력한 입법조치가 요구된다.
지각하지 않으려면 서둘러야돼요.	지각하지 않으려면 서둘러야 돼요.
스파게티를 만드는 김에 샐러드도 만들어 둘게요.	스파게티를 만드는 김에 샐러드도 만들어 줄게요.
이 기획안은 설립 업무를 20개 부문으로 대분하고 다시 60개 분야로 구분하여 각 분야업무를 36단계로 계획하였다.	이 기획안은 설립업무를 20개 부문으로 대분하고 다시 60개 분야로 구분하여 각 분야업무를 36단계로 계획하였다.
교실에 책상하고 컴퓨터가 있어여.	교실에 책상하고 컴퓨터가 있어요.
김치를 먹지 못하는 한 한국음식을 잘 먹는다고 말 할 수 없어요.	김치를 먹지 못하는 한 한국 음식을 잘 먹는다고 말할 수 없어요.
김선생은 처음 학교에 부임하면서 아이들이 자신의 재능을 최대한 발휘시킬 수 있도록 해주어야 겠다고 다짐했다.	김 선생은 처음 학교에 부임하면서 아이들이 자신의 재능을 최대한 발휘시킬 수 있도록 해주어야 겠다고 다짐했다.
이 책은 어렵겠어여.	이 책은 어렵겠어요.
이 학교에 다니고 있는만큼 학교를 사랑할 거예요.	이 학교에 다니는 만큼 학교를 사랑할 거예요.
이 사람이면 노래면 노래 춤이면 춤 연기면 연기 어느 것 하나 못하는게 없어요.	이 사람은 노래면 노래 춤이면 춤 연기면 연기 어느 것 하나 못 하는 게 없어요.
줄리아씨가 3일 동안 밤을 새우면서 일을 하니 곧 쓰러지겠세요.	줄리아 씨가 3일 동안 밤을 새우면서 일을 하니 곧 쓰러지겠어요.
저는 한국에 온지 삼년이 되었어요.	저는 한국에 온 지 삼 년이 되었어요.
영수씨는 어제 비가 많이 와가지고 부산에 못갔어여.	영수 씨는 어제 비가 많이 와 가지고 부산에 못 갔어요.
그 종교 신봉자들은 다른 종교인들에게 그들의 종교의식에 대해 사이비 종교의식이라고 박해를 받았다.	그 종교 신봉자들은 다른 종교인들에게 그들의 종교 의식에 대해 사이비 종교 의식이라고 박해를 받았다.
열씨미 아르바이트해서 모은 돈을 전부 기부하겠다니.	열심히 아르바이트를 해서 모은 돈을 전부 기부하겠다니.
흐엉씨 지난 주말에 무엇을 했어요.	흐엉 씨 지난 주말에 무엇을 했어요.
왜 시간표대로 수업을 운영하지 않는거죠.	왜 시간표대로 수업을 운영하지 않는 거죠.
우리 언니는 남자 같이 씩씩해여.	우리 언니는 남자같이 씩씩해요.
사촌언니가 나에게 시어머니가 왜 그런말을 하느냐에 대해 미워 죽겠다고 하소연을 늘어놓는다.	사촌언니가 나에게 시어머니가 왜 그런 말을 하는지에 대해 미워죽겠다고 하소연을 늘어놓는다.
저는 이 치마를 2 만원에 샀어여.	저는 이 치마를 2만 원에 샀어요.
우리 회사면 모기면 모기 파리면 파리 어떤 벌레도 잡아드립니다.	우리 회사는 모기면 모기 파리면 파리 어떤 벌레도 모두 잡아 드립니다.
한동안 잠잠하더니 영철이가 또 사고를? 구나.	한동안 잠잠하더니 영철이가 또 사고를 쳤구나.
이 편지는 누가 쓴 편지에요?	이 편지는 누가 쓴 편지예요?
앤디는 칼에 손을 베였습니다.	앤디는 칼에 손을 베었습니다.
줄리아씨가 이 가방을 좋아할 거 같지 않아여.	줄리아 씨가 이 가방을 좋아할 것 같지 않아요.
수업을 듣고 나서 밥을 먹을꺼에요.	수업을 듣고 나서 밥을 먹을 거예요.
눈이 많이 내리는 날 개가 앞산을 향해 하루종일 짖더니 큰 눈동이가 집 안으로 굴러들었다.	눈이 많이 내리는 날 개가 앞산을 향해 하루 종일 짖더니 큰 눈덩이가 집 안으로 굴러들었다.
2에다가 8을 더하면 10이되요.	2에다가 8을 더하면 10이 돼요.
친구 놈이 우리들에게 어떻게 승진 시험을 통과했는지에 대해 자기 실력으로 붙었다고 꼴값을 떨었다.	친구놈이 우리들에게 어떻게 승진시험을 통과했는지에 대해 자기 실력으로 붙었다고 꼴값을 떨었다.
환자가 수술중이니 조용히해주세요.	환자가 수술 중이니 조용히 해 주세요.
선색님께 편지를 써요.	선생님께 편지를 써요.
약속대로 자전거 사줄께.	약속대로 자전거 사 줄게.
파란색책은 파란색책대로 노란색책은 노란색책대로 책을 색깔별로 정리했어여.	파란색 책은 파란색 책대로 노란색 책은 노란색 책대로 책을 색깔별로 정리했어요.
더욱이 이처럼 약석이라는 이름을 가로채어 발마시지를 하는 사람들이 옛날 도면과 기구에 고착되어 있는 것은 더욱 안타깝습니다.	더욱이 이처럼 약석이라는 이름을 가로채어 발마사지를 하는 사람들이 옛날 도면과 기구에 고착해 있는 것은 더욱 안타깝습니다.
우리 집 강아지는 발소리만 들어도 주인인 지 아닌 지 알아요.	우리 집 강아지는 발소리만 들어도 주인인지 아닌지 알아요.
한국 팀은 공격 전문 선수와 수비 전문 선수를 적절히 교체해 가면서 경기를 순조롭게 이끌어갔다.	한국 팀은 공격 전문선수와 수비 전문 선수를 적절히 교체해 가면서 경기를 순조롭게 이끌어갔다.
쇼핑한 다음에 뭐 할거에요.	쇼핑한 다음에 뭐 할 거예요.
다리가 좀 아팠을따름이에요.	다리가 좀 아팠을 따름이에요.
사장이 종업원들의 근로의지를 높이기는 커녕 오히려 허물어뜨리는 판이니 회사가 잘 될리 없다.	사장이 종업원들의 근로 의지를 높이기는 커녕 오히려 허물어뜨리는 판이니 회사가 잘 될 리 없다.
마이클씨가 왜 시험을 못봤는데요.	마이클 씨가 왜 시험을 못 봤는데요.
왕밍씨에게 제가 먼저 사과할까 봐요.	왕밍 씨에게 제가 먼저 사과할까 봐요.
너무 슬퍼하지 마십시요.	너무 슬퍼하지 마십시오.
제가 학생을 자리에 앉도록 하겠스니다.	제가 학생을 자리에 앉도록 하겠습니다.
영수씨는 농구를 좋아하지만 잘하지못해여.	영수 씨는 농구를 좋아하지만 잘하지 못해요.
아니오 언니는 있지만 오빠는 없어요.	아니요 언니는 있지만 오빠는 없어요.
아무래도 제가 잘못 한 것 같군요.	아무래도 제가 잘못한 것 같군요.
내가 기다린만큼 너는 기다릴 수 없을 거야.	내가 기다린 만큼 너는 기다릴 수 없을 거야.
지갑을 잃어버린적이 있어요.	지갑을 잃어버린 적이 있어요.
헌정 질서를 파괴하고 민주화 운동을 짓밟는 것과 같은 폭거를 이제는 누구도 상상할 수 없도록 해야한다.	헌정 질서를 파괴하고 민주화 운동을 짓밟는 것과 같은 폭거를 이제는 누구도 상상할 수 없도록 해야 한다.
이 과자를 한 사람에 몇 개 씩 줄까요.	이 과자를 한 사람에 몇 개씩 줄까요.
선생님 이번 주말에 가치 등산해여.	선생님 이번 주말에 같이 등산해요.
저는 언니랑 여행을 갈 거에요.	저는 언니랑 여행을 갈 거예요.
중국에서 유명한 곳이 많이 있으니 그 중에서 가장 유명한 곳이 만리장성입니다.	중국에서 유명한 곳이 많이 있으니 그중에서 가장 유명한 곳이 만리장성입니다.
현우씨가 일이 많아서 바쁘겠다.	현우 씨가 일이 많아서 바쁘겠다.
교통신호를 위반한 형은 교통법규에 따른 벌로 벌금을 내었다.	교통신호를 위반한 형은 교통 법규에 따른 벌로 벌금을 내었다.
손수건으로 땀을 다끄세요.	손수건으로 땀을 닦으세요.
호랑이에게 물려가도 정신만 차리면 산다.	호랑이에게 물려 가도 정신만 차리면 산다.
요리사는 음식을 잘 하고 봐야 한다.	요리사는 음식을 잘하고 봐야 한다.
이 후보는 친구집을 전전하면서 고시공부를 하다가 입영통지서를 제때에 전달받지 못했다고 진술했다.	이 후보는 친구집을 전전하면서 고시 공부를 하다가 입영통지서를 제때에 전달받지 못했다고 진술했다.
유명한 교수가 한국에서 발표를합니다.	유명한 교수가 한국에서 발표합니다.
수지보다는 미도리가 키가 커여.	수지보다는 미도리가 키가 커요.
중국에 있는 남자친구가 보고싶어요.	중국에 있는 남자 친구가 보고 싶어요.
동아프리카 지역을 황폐화시키고 있는 가뭄이 천만명이 넘는 지역민들에게 심각한 영향을 미치고 있다.	동아프리카 지역을 황폐화시키고 있는 가뭄이 천만 명이 넘는 지역민들에게 심각한 영향을 미치고 있다.
아이를 충분히 놀께도 하고 쉬게도 하게 하세요.	아이를 충분히 놀게도 하고 쉬게도 하세요.
제가 책상위에 있는 봉투에다가 용돈을 넣었어요.	제가 책상 위에 있는 봉투에다가 용돈을 넣었어요.
빨간 금붕어들은 임신 것처럼 뽈록한 배에다 윤기나는 비늘 옷을 몸에 두르고 마음껏 어항을 휘젓고 다녔다.	빨간 금붕어들은 임신한 것처럼 뽈록한 배에다 윤기 나는 비늘 옷을 몸에 두르고 마음껏 어항을 휘젓고 다녔다.
만나고 보면 생각이 달라질거야.	만나고 보면 생각이 달라질 거야.
수지는 집앞 슈퍼에 가더라도 화장을 꼭하고 나가요.	수지는 집 앞 슈퍼에 가더라도 화장을 꼭 하고 나가요.
30 대의 벤처 경영인 모씨는 회사가 코스닥에 등록되면서 어느 정도 돈을 쥐게 되자 1억원대 고급 승용차로 차를 바꿨다.	30대의 벤처경영인 모씨는 회사가 코스닥에 등록되면서 어느 정도 돈을 쥐게 되자 1억원대 고급승용차로 차를 바꿨다.
미도리 씨가 이삿짐이 많아서 열심히 도와주기 밖에 뭘 하겠어요.	미도리 씨가 이삿짐이 많아서 열심히 도와주기밖에 뭘 하겠어요.
급하게 나가는걸 보니 친구가 기다리나봐요.	급하게 나가는 걸 보니 친구가 기다리나 봐요.
영수씨 이 가방 좀 들어줄래애요.	영수 씨 이 가방 좀 들어 줄래요.
날씨가 좋은만큼 밀린 빨래를 했어요.	날씨가 좋은 만큼 밀린 빨래를 했어요.
내일은 비빔빱을 만들어 먹어야지.	내일은 비빔밥을 만들어 먹어야지.
일기를 지우개로 다 지웠어여.	일기를 지우개로 다 지웠어요.
저는 미국 사람이에여.	저는 미국 사람이에요.
줄리아씨 이번 주말에 부산으로 갈까여? 제주도로 갈까여?	줄리아 씨 이번 주말에 부산으로 갈까요? 제주도로 갈까요?
지영씨와 남자 친구는 아마도 3년 전부터 사귀어 왔을 거예요.	지영 씨와 남자 친구는 아마도 3년 전부터 사귀어 왔을 거예요.
우리 선수들은 일본 선수에게 축구에서 빗장수비에 어떻게 대처할 것인가에 대해 우리가 한수 위라고 여유를 가진다.	우리 선수들은 일본 선수에게 축구에서 빚장수비에 어떻게 대체할 것인가에 대해 우리가 한수 위라고 여유를 가진다.
부모님과 제 생각이 안같을까봐 걱정이에요.	부모님과 제 생각이 안 같을까 봐 걱정이에요.
기분 조은 날에 데이트.	기분 좋은 날의 데이트.
여자친구를 사귄 지 1년이 넘었어요.	여자 친구를 사귄 지 1년이 넘었어요.
조사결과 성행위를 할 때 전위를 충분히 갖는 경우에 만족도가 더 높았다는 응답이 많았다.	조사 결과 성행위를 할 때 전희를 충분히 갖는 경우에 만족도가 더 높았다는 응답이 많았다.
우리 흐엉씨에게 부탁해요.	우리 흐엉 씨에게 부탁해요.
저는 매일 강아지와 산책해여.	저는 매일 강아지와 산책해요.
단 세달이면 투자금의 두배를 벌게 해준다는 데에 현혹되어 많은 이들이 그의 사기에 말려들었다고 한다.	단 세 달이면 투자금의 두 배를 벌게 해 준다는 데에 현혹되어 많은 이들이 그의 사기에 말려들었다고 한다.
다음 주에 고향에 계신 부모님께 선물을 보내드릴게요.	다음 주에 고향에 계신 부모님께 선물을 보내 드릴게요.
우리는 전체를 균형있게 보지 못하고 문제를 양자택일로 양극화 시켜놓는 흑백논리에서 탈피해야 한다.	우리는 전체를 균형 있게 보지 못하고 문제를 양자 택일로 양극화시켜 놓는 흑백 논리에서 탈피해야 한다.
